CustomerID,Recency,Frequency,Monetary,r_score,f_score,m_score,Total_score,rfm_segment
CUST0164,227,4,52.29,3,6,5,14,Engaged
CUST0015,76,5,58.19,9,9,6,24,Loyal VIPs
CUST0101,301,3,70.75,2,4,7,13,Engaged
CUST0163,341,3,29.84,1,4,3,8,Require Attention
CUST0102,71,5,108.92,10,9,9,28,Champions
CUST0055,76,5,81.3,9,9,8,26,Loyal VIPs
CUST0287,152,4,40.15,5,7,4,16,Promising
CUST0034,69,2,15.89,10,4,2,16,Promising
CUST0231,186,3,55.25,4,5,6,15,Engaged
CUST0110,218,2,52.1,3,2,5,10,Require Attention
CUST0131,138,5,131.69,5,8,10,23,Potential Loyalists
CUST0246,100,3,37.87,7,6,4,17,Promising
CUST0219,131,2,47.76,6,3,5,14,Engaged
CUST0065,113,2,23.78,7,3,2,12,Engaged
CUST0240,144,1,12.43,5,1,1,7,AT Risk
CUST0250,88,3,47.45,8,6,5,19,Promising
CUST0042,72,4,106.78,10,8,9,27,Loyal VIPs
CUST0007,92,5,104.63,8,9,9,26,Loyal VIPs
CUST0296,110,5,97.41,7,8,9,24,Loyal VIPs
CUST0237,128,5,92.73,6,8,9,23,Potential Loyalists
CUST0060,153,4,88.92,5,7,8,20,Potential Loyalists
CUST0033,153,1,5.71,5,1,1,7,AT Risk
CUST0039,88,8,167.44,8,10,10,28,Champions
CUST0132,203,4,65.01,3,6,7,16,Promising
CUST0165,245,4,85.34,2,6,8,16,Promising
CUST0123,188,3,59.82,4,5,6,15,Engaged
CUST0100,93,2,18.39,8,4,2,14,Engaged
CUST0263,215,3,57.67,3,4,6,13,Engaged
CUST0299,132,2,36.3,6,3,4,13,Engaged
CUST0019,192,3,50.73,3,5,5,13,Engaged
CUST0187,254,2,33.97,2,2,3,7,AT Risk
CUST0032,261,1,14.27,2,1,2,5,AT Risk
CUST0203,383,1,8.8,1,1,1,3,Lost/Inactive
CUST0213,68,3,40.74,10,6,4,20,Potential Loyalists
CUST0126,76,2,20.42,9,4,2,15,Engaged
CUST0046,300,4,65.58,2,6,7,15,Engaged
CUST0108,80,6,72.05,9,10,7,26,Loyal VIPs
CUST0001,93,5,64.5,8,9,7,24,Loyal VIPs
CUST0200,132,2,45.68,6,3,4,13,Engaged
CUST0290,359,2,69.79,1,2,7,10,Require Attention
CUST0262,79,5,121.51,9,9,10,28,Champions
CUST0201,78,3,26.67,9,6,3,18,Promising
CUST0160,136,4,59.02,5,7,6,18,Promising
CUST0128,154,3,53.66,5,5,5,15,Engaged
CUST0254,83,2,21.06,8,4,2,14,Engaged
CUST0297,132,2,41.12,6,3,4,13,Engaged
CUST0109,90,1,8.01,8,2,1,11,Require Attention
CUST0068,274,2,40.29,2,2,4,8,Require Attention
CUST0138,303,1,15.44,1,1,2,4,AT Risk
CUST0116,259,1,4.38,2,1,1,4,AT Risk
CUST0239,85,4,85.9,8,7,8,23,Potential Loyalists
CUST0099,70,2,58.25,10,4,6,20,Potential Loyalists
CUST0168,169,3,58.05,4,5,6,15,Engaged
CUST0241,161,3,51.7,4,5,5,14,Engaged
CUST0052,174,2,52.57,4,3,5,12,Engaged
CUST0217,211,3,33.95,3,4,3,10,Require Attention
CUST0179,69,5,55.54,10,9,6,25,Loyal VIPs
CUST0002,127,4,53.9,6,7,5,18,Promising
CUST0265,132,2,50.75,6,3,5,14,Engaged
CUST0174,165,2,55.1,4,3,6,13,Engaged
CUST0072,319,5,41.33,1,8,4,13,Engaged
CUST0281,324,3,47.22,1,4,5,10,Require Attention
CUST0112,237,1,11.81,2,1,1,4,AT Risk
CUST0104,74,6,164.74,9,10,10,29,Champions
CUST0154,92,7,88.16,8,10,8,26,Loyal VIPs
CUST0295,104,5,57.31,7,8,6,21,Potential Loyalists
CUST0279,99,1,5.19,7,2,1,10,Require Attention
CUST0121,243,2,44.73,2,2,4,8,Require Attention
CUST0043,347,1,12.17,1,1,1,3,Lost/Inactive
CUST0227,73,6,126.89,10,10,10,30,Champions
CUST0063,79,6,96.28,9,10,9,28,Champions
CUST0285,212,8,143.59,3,10,10,23,Potential Loyalists
CUST0119,115,5,106.08,6,8,9,23,Potential Loyalists
CUST0141,161,5,35.08,4,8,4,16,Promising
CUST0016,302,2,39.26,1,2,4,7,AT Risk
CUST0162,259,2,14.67,2,2,2,6,AT Risk
CUST0057,236,1,24.63,3,1,2,6,AT Risk
CUST0018,259,1,22.09,2,1,2,5,AT Risk
CUST0223,119,5,61.24,6,8,6,20,Potential Loyalists
CUST0080,189,3,80.93,4,5,8,17,Promising
CUST0010,151,4,35.17,5,7,4,16,Promising
CUST0244,313,2,33.43,1,2,3,6,AT Risk
CUST0194,349,2,19.81,1,2,2,5,AT Risk
CUST0157,85,7,132.83,8,10,10,28,Champions
CUST0243,74,4,74.13,9,8,8,25,Loyal VIPs
CUST0294,66,3,59.38,10,6,6,22,Potential Loyalists
CUST0202,140,5,85.24,5,8,8,21,Potential Loyalists
CUST0047,245,4,90.01,2,6,8,16,Promising
CUST0134,228,4,53.77,3,6,5,14,Engaged
CUST0079,150,2,38.49,5,3,4,12,Engaged
CUST0145,93,5,85.98,8,9,8,25,Loyal VIPs
CUST0198,114,5,61.88,7,8,7,22,Potential Loyalists
CUST0166,108,3,98.6,7,5,9,21,Potential Loyalists
CUST0067,92,2,50.21,8,4,5,17,Promising
CUST0269,83,4,70.96,9,8,7,24,Loyal VIPs
CUST0027,98,5,70.66,7,8,7,22,Potential Loyalists
CUST0242,137,4,97.14,5,7,9,21,Potential Loyalists
CUST0278,67,2,27.89,10,4,3,17,Promising
CUST0020,219,4,52.31,3,6,5,14,Engaged
CUST0268,339,3,80.47,1,4,8,13,Engaged
CUST0115,225,3,52.66,3,4,5,12,Engaged
CUST0180,91,1,12.12,8,2,1,11,Require Attention
CUST0197,252,1,4.26,2,1,1,4,AT Risk
CUST0264,73,6,126.84,10,10,10,30,Champions
CUST0226,74,6,103.71,10,10,9,29,Champions
CUST0208,122,3,61.43,6,5,7,18,Promising
CUST0096,181,3,95.01,4,5,9,18,Promising
CUST0087,272,4,57.61,2,6,6,14,Engaged
CUST0122,182,3,45.87,4,5,4,13,Engaged
CUST0228,192,4,37.58,3,6,4,13,Engaged
CUST0258,378,1,12.22,1,1,1,3,Lost/Inactive
CUST0284,123,2,71.95,6,3,7,16,Promising
CUST0038,182,4,44.35,4,7,4,15,Engaged
CUST0280,322,2,11.09,1,2,1,4,AT Risk
CUST0161,84,8,103.61,8,10,9,27,Loyal VIPs
CUST0178,75,5,114.12,9,9,9,27,Loyal VIPs
CUST0009,117,6,139.02,6,9,10,25,Loyal VIPs
CUST0106,79,3,91.44,9,6,9,24,Loyal VIPs
CUST0186,327,2,17.36,1,2,2,5,AT Risk
CUST0216,109,5,158.8,7,8,10,25,Loyal VIPs
CUST0059,150,7,99.24,5,10,9,24,Loyal VIPs
CUST0125,123,3,41.38,6,5,4,15,Engaged
CUST0050,101,3,32.49,7,5,3,15,Engaged
CUST0232,89,2,9.94,8,4,1,13,Engaged
CUST0206,310,3,63.08,1,4,7,12,Engaged
CUST0211,122,2,21.21,6,3,2,11,Require Attention
CUST0249,228,2,49.29,3,2,5,10,Require Attention
CUST0129,272,3,46.1,2,4,4,10,Require Attention
CUST0190,298,1,33.44,2,1,3,6,AT Risk
CUST0189,384,1,17.08,1,1,2,4,AT Risk
CUST0218,146,3,59.46,5,5,6,16,Promising
CUST0274,166,3,71.96,4,5,7,16,Promising
CUST0023,218,3,62.49,3,4,7,14,Engaged
CUST0075,261,3,60.87,2,4,6,12,Engaged
CUST0207,151,2,22.57,5,3,2,10,Require Attention
CUST0191,190,1,16.14,4,1,2,7,AT Risk
CUST0140,334,1,27.37,1,1,3,5,AT Risk
CUST0289,73,7,121.17,10,10,10,30,Champions
CUST0014,88,6,132.01,8,9,10,27,Loyal VIPs
CUST0271,102,5,117.98,7,8,10,25,Loyal VIPs
CUST0114,81,3,57.95,9,6,6,21,Potential Loyalists
CUST0170,157,4,62.59,4,7,7,18,Promising
CUST0275,93,2,27.74,8,3,3,14,Engaged
CUST0105,121,2,19.49,6,3,2,11,Require Attention
CUST0146,177,4,64.99,4,7,7,18,Promising
CUST0113,105,3,36.65,7,5,4,16,Promising
CUST0022,135,3,50.93,6,5,5,16,Promising
CUST0204,97,3,20.82,7,6,2,15,Engaged
CUST0136,154,3,52.02,5,5,5,15,Engaged
CUST0124,312,2,27.5,1,2,3,6,AT Risk
CUST0074,302,2,20.81,1,2,2,5,AT Risk
CUST0077,80,4,91.19,9,8,9,26,Loyal VIPs
CUST0277,69,3,34.48,10,6,4,20,Potential Loyalists
CUST0037,114,3,40.36,7,5,4,16,Promising
CUST0064,145,3,49.8,5,5,5,15,Engaged
CUST0044,76,2,10.38,9,4,1,14,Engaged
CUST0013,135,2,30.9,5,3,3,11,Require Attention
CUST0082,113,5,88.89,7,8,8,23,Potential Loyalists
CUST0149,172,4,61.65,4,7,7,18,Promising
CUST0142,137,2,40.78,5,3,4,12,Engaged
CUST0185,140,2,32.3,5,3,3,11,Require Attention
CUST0045,207,2,23.24,3,3,2,8,Require Attention
